address,area,build_year,city,esfhousenews_url,floor,orientation,province,room_type,title,total,unit,village_name
巴滨路-巴滨路(建新公交站旁),130㎡,2018年建,重庆,https://cq.esf.fang.com/chushou/3_197241147.htm,高层（共1层）,南北向,直辖市,3室2厅,南北通透3室2厅电梯房143万130平合谊理想城,143万,11000元/㎡,合谊理想城
龙洲湾-海洋公园旁,125.3㎡,2019年建,重庆,https://cq.esf.fang.com/chushou/3_197586765.htm,高层（共1层）,南向,直辖市,4室2厅,"新盘现房,巴南万达商圈电梯入户叠拼别墅,门口巴蜀育才",149.9万,11963元/㎡,联发龙洲湾1号
巴滨路-珠江城巴滨路(阳春湿地公园旁),97.72㎡,2017年建,重庆,https://cq.esf.fang.com/chushou/3_197804726.htm,低层（共18层）,南向,直辖市,3室2厅,巴滨路后的倔强 单价不到一万 公园房 轻轨房 还看江,102万,10437元/㎡,珠江城
江北嘴-江北嘴CBD(朝天门大桥旁),280.4㎡,2017年建,重庆,https://cq.esf.fang.com/chushou/3_197582123.htm,中层（共32层）,东南向,直辖市,4室2厅,"江北嘴CBD,望江大平层一线江景,纵览两江交汇处",580万,20684元/㎡,星耀天地
杨家坪-西郊支路18号,72㎡,2011年建,重庆,https://cq.esf.fang.com/chushou/3_197422485.htm,低层（共31层）,东南向,直辖市,2室1厅,杨家坪商圈正两房出售户型方正,110万,15277元/㎡,联发嘉园
照母山-金开大道中段(颐和公园旁),179㎡,,重庆,https://cq.esf.fang.com/chushou/10_197759901.htm,低层（共31层）,南向,直辖市,卧室：5个,"照母山,带露台,屋顶花园的联排端户",330万,18435元/㎡,象屿两江御府
江津-恒大金碧天下别墅,187.42㎡,,重庆,https://cq.esf.fang.com/chushou/10_197623624.htm,低层（共31层）,北向,直辖市,卧室：4个,"恒大一期,大联排188平,洋房价买别墅,单价只要9000",175万,9337元/㎡,恒大金碧天下别墅
杨家坪-杨家坪西郊支路19号,82.9㎡,2010年建,重庆,https://cq.esf.fang.com/chushou/3_197648203.htm,低层（共32层）,南向,直辖市,2室1厅,恒大绿洲B区+住家小1房+可1改2房+品质装修+品质小区,115万,13872元/㎡,恒大绿洲
观音桥-江北区五星南路,143㎡,2020年建,重庆,https://cq.esf.fang.com/chushou/3_197582909.htm,高层（共46层）,南北向,直辖市,4室2厅,品质大盘江北观音桥 精装大平层 九街云巅之上 俯视两江四岸,268.8万,18797元/㎡,卓越皇后道
龙洲湾-渝南大道(3号线学堂湾站旁),82.7㎡,2016年建,重庆,https://cq.esf.fang.com/chushou/3_197768430.htm,低层（共32层）,西南向,直辖市,3室2厅,万达商圈首付25万 中交(一期)龙湖物业 精装修 满二,118万,14268元/㎡,中交锦悦
中山门-河东区中山门广宁路与中山门四号路交口,15㎡,1950年建,天津,https://tj.esf.fang.com/chushou/3_249152314.htm,中层（共4层）,东西向,直辖市,1室1厅,中山门落/户/好/房集体可落/户拆/迁/片54万全包,54万,36000元/㎡,中山门四号路小区
