city,esfhouse_url,newhouse_url,province,shop_shou_url,shop_zu_url,zuhouse_url
北京,http://bj.esf.fang.com/,http://bj.newhouse.fang.com/,直辖市,https://shop.fang.com/shou/house/,https://shop.fang.com/zu/house/,https://zu.fang.com/
上海,http://sh.esf.fang.com/,http://sh.newhouse.fang.com/,直辖市,http://sh.shop.fang.com/shou/house/,http://sh.shop.fang.com/zu/house/,http://sh.zu.fang.com/
天津,http://tj.esf.fang.com/,http://tj.newhouse.fang.com/,直辖市,http://tj.shop.fang.com/shou/house/,http://tj.shop.fang.com/zu/house/,http://tj.zu.fang.com/
重庆,http://cq.esf.fang.com/,http://cq.newhouse.fang.com/,直辖市,http://cq.shop.fang.com/shou/house/,http://cq.shop.fang.com/zu/house/,http://cq.zu.fang.com/
合肥,http://hf.esf.fang.com/,http://hf.newhouse.fang.com/,安徽,http://hf.shop.fang.com/shou/house/,http://hf.shop.fang.com/zu/house/,http://hf.zu.fang.com/
芜湖,http://wuhu.esf.fang.com/,http://wuhu.newhouse.fang.com/,安徽,http://wuhu.shop.fang.com/shou/house/,http://wuhu.shop.fang.com/zu/house/,http://wuhu.zu.fang.com/
淮南,http://huainan.esf.fang.com/,http://huainan.newhouse.fang.com/,安徽,http://huainan.shop.fang.com/shou/house/,http://huainan.shop.fang.com/zu/house/,http://huainan.zu.fang.com/
蚌埠,http://bengbu.esf.fang.com/,http://bengbu.newhouse.fang.com/,安徽,http://bengbu.shop.fang.com/shou/house/,http://bengbu.shop.fang.com/zu/house/,http://bengbu.zu.fang.com/
阜阳,http://fuyang.esf.fang.com/,http://fuyang.newhouse.fang.com/,安徽,http://fuyang.shop.fang.com/shou/house/,http://fuyang.shop.fang.com/zu/house/,http://fuyang.zu.fang.com/
安庆,http://anqing.esf.fang.com/,http://anqing.newhouse.fang.com/,安徽,http://anqing.shop.fang.com/shou/house/,http://anqing.shop.fang.com/zu/house/,http://anqing.zu.fang.com/
巢湖,http://chaohu.esf.fang.com/,http://chaohu.newhouse.fang.com/,安徽,http://chaohu.shop.fang.com/shou/house/,http://chaohu.shop.fang.com/zu/house/,http://chaohu.zu.fang.com/
滁州,http://chuzhou.esf.fang.com/,http://chuzhou.newhouse.fang.com/,安徽,http://chuzhou.shop.fang.com/shou/house/,http://chuzhou.shop.fang.com/zu/house/,http://chuzhou.zu.fang.com/
六安,http://luan.esf.fang.com/,http://luan.newhouse.fang.com/,安徽,http://luan.shop.fang.com/shou/house/,http://luan.shop.fang.com/zu/house/,http://luan.zu.fang.com/
铜陵,http://tongling.esf.fang.com/,http://tongling.newhouse.fang.com/,安徽,http://tongling.shop.fang.com/shou/house/,http://tongling.shop.fang.com/zu/house/,http://tongling.zu.fang.com/
淮北,http://huaibei.esf.fang.com/,http://huaibei.newhouse.fang.com/,安徽,http://huaibei.shop.fang.com/shou/house/,http://huaibei.shop.fang.com/zu/house/,http://huaibei.zu.fang.com/
宣城,http://xuancheng.esf.fang.com/,http://xuancheng.newhouse.fang.com/,安徽,http://xuancheng.shop.fang.com/shou/house/,http://xuancheng.shop.fang.com/zu/house/,http://xuancheng.zu.fang.com/
黄山,http://huangshan.esf.fang.com/,http://huangshan.newhouse.fang.com/,安徽,http://huangshan.shop.fang.com/shou/house/,http://huangshan.shop.fang.com/zu/house/,http://huangshan.zu.fang.com/
宿州,http://ahsuzhou.esf.fang.com/,http://ahsuzhou.newhouse.fang.com/,安徽,http://ahsuzhou.shop.fang.com/shou/house/,http://ahsuzhou.shop.fang.com/zu/house/,http://ahsuzhou.zu.fang.com/
亳州,http://bozhou.esf.fang.com/,http://bozhou.newhouse.fang.com/,安徽,http://bozhou.shop.fang.com/shou/house/,http://bozhou.shop.fang.com/zu/house/,http://bozhou.zu.fang.com/
马鞍山,http://mas.esf.fang.com/,http://mas.newhouse.fang.com/,安徽,http://mas.shop.fang.com/shou/house/,http://mas.shop.fang.com/zu/house/,http://mas.zu.fang.com/
池州,http://chizhou.esf.fang.com/,http://chizhou.newhouse.fang.com/,安徽,http://chizhou.shop.fang.com/shou/house/,http://chizhou.shop.fang.com/zu/house/,http://chizhou.zu.fang.com/
广德,https://guangde.esf.fang.com/,https://guangde.newhouse.fang.com/,安徽,https://guangde.shop.fang.com/shou/house/,https://guangde.shop.fang.com/zu/house/,https://guangde.zu.fang.com/
桐城,http://tongcheng.esf.fang.com/,http://tongcheng.newhouse.fang.com/,安徽,http://tongcheng.shop.fang.com/shou/house/,http://tongcheng.shop.fang.com/zu/house/,http://tongcheng.zu.fang.com/
霍邱,http://huoqiu.esf.fang.com/,http://huoqiu.newhouse.fang.com/,安徽,http://huoqiu.shop.fang.com/shou/house/,http://huoqiu.shop.fang.com/zu/house/,http://huoqiu.zu.fang.com/
当涂,http://dangtu.esf.fang.com/,http://dangtu.newhouse.fang.com/,安徽,http://dangtu.shop.fang.com/shou/house/,http://dangtu.shop.fang.com/zu/house/,http://dangtu.zu.fang.com/
长丰,http://ahcf.esf.fang.com/,http://ahcf.newhouse.fang.com/,安徽,http://ahcf.shop.fang.com/shou/house/,http://ahcf.shop.fang.com/zu/house/,http://ahcf.zu.fang.com/
怀远,http://huaiyuan.esf.fang.com/,http://huaiyuan.newhouse.fang.com/,安徽,http://huaiyuan.shop.fang.com/shou/house/,http://huaiyuan.shop.fang.com/zu/house/,http://huaiyuan.zu.fang.com/
五河,http://wuhe.esf.fang.com/,http://wuhe.newhouse.fang.com/,安徽,http://wuhe.shop.fang.com/shou/house/,http://wuhe.shop.fang.com/zu/house/,http://wuhe.zu.fang.com/
固镇,http://guzhen.esf.fang.com/,http://guzhen.newhouse.fang.com/,安徽,http://guzhen.shop.fang.com/shou/house/,http://guzhen.shop.fang.com/zu/house/,http://guzhen.zu.fang.com/
繁昌,http://fanchang.esf.fang.com/,http://fanchang.newhouse.fang.com/,安徽,http://fanchang.shop.fang.com/shou/house/,http://fanchang.shop.fang.com/zu/house/,http://fanchang.zu.fang.com/
全椒,http://quanjiao.esf.fang.com/,http://quanjiao.newhouse.fang.com/,安徽,http://quanjiao.shop.fang.com/shou/house/,http://quanjiao.shop.fang.com/zu/house/,http://quanjiao.zu.fang.com/
蒙城,http://mengcheng.esf.fang.com/,http://mengcheng.newhouse.fang.com/,安徽,http://mengcheng.shop.fang.com/shou/house/,http://mengcheng.shop.fang.com/zu/house/,http://mengcheng.zu.fang.com/
澳门,http://macau.esf.fang.com/,http://macau.newhouse.fang.com/,澳门,http://macau.shop.fang.com/shou/house/,http://macau.shop.fang.com/zu/house/,http://macau.zu.fang.com/
福州,http://fz.esf.fang.com/,http://fz.newhouse.fang.com/,福建,http://fz.shop.fang.com/shou/house/,http://fz.shop.fang.com/zu/house/,http://fz.zu.fang.com/
厦门,http://xm.esf.fang.com/,http://xm.newhouse.fang.com/,福建,http://xm.shop.fang.com/shou/house/,http://xm.shop.fang.com/zu/house/,http://xm.zu.fang.com/
泉州,http://qz.esf.fang.com/,http://qz.newhouse.fang.com/,福建,http://qz.shop.fang.com/shou/house/,http://qz.shop.fang.com/zu/house/,http://qz.zu.fang.com/
莆田,http://putian.esf.fang.com/,http://putian.newhouse.fang.com/,福建,http://putian.shop.fang.com/shou/house/,http://putian.shop.fang.com/zu/house/,http://putian.zu.fang.com/
